AccidentArea,Sex,MaritalStatus,Age,Fault,VehicleCategory,FraudFound_P,Deductible,AgentType,AddressChange_Claim,BasePolicy
Urban,Male,Married,47,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Married,21,Third Party,Sedan,0,400,External,4 to 8 years,All Perils
Urban,Male,Married,69,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,34,Policy Holder,Sedan,0,400,External,4 to 8 years,Collision
Rural,Male,Married,39,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Single,39,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,36,Third Party,Sedan,0,400,External,no change,Collision
Urban,Female,Married,67,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,26,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,31,Policy Holder,Sedan,0,400,Internal,no change,Collision
Urban,Male,Married,36,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,32,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,44,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,27,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,50,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Female,Single,27,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,29,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,30,Third Party,Sedan,0,400,External,no change,Collision
Urban,Female,Married,53,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Married,34,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Married,41,Policy Holder,Sport,0,400,External,no change,Liability
Rural,Male,Married,54,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,54,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,78,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Female,Married,31,Third Party,Sedan,0,400,External,no change,Collision
Urban,Female,Married,57,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,36,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Female,Married,33,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,72,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Female,Married,48,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,44,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Married,60,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,38,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,26,Policy Holder,Sedan,0,400,External,no change,Collision
Rural,Male,Married,54,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,26,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,44,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,39,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,28,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,54,Policy Holder,Sport,0,400,External,4 to 8 years,Liability
Urban,Male,Married,56,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,30,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Single,38,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Married,38,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,43,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,29,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,27,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,51,Third Party,Sedan,0,400,External,no change,Collision
Rural,Male,Married,45,Policy Holder,Sedan,0,400,External,1 year,Collision
Urban,Male,Married,33,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Married,73,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Female,Married,34,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,61,Third Party,Utility,0,400,External,no change,All Perils
Urban,Male,Married,51,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,34,Policy Holder,Sedan,0,400,Internal,no change,Collision
Rural,Male,Married,33,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,54,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,27,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,43,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,56,Third Party,Sport,0,400,External,no change,Liability
Urban,Female,Single,26,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,24,Policy Holder,Sedan,0,400,External,no change,Collision
Rural,Male,Married,50,Third Party,Sedan,0,500,External,1 year,Collision
Urban,Male,Married,62,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,29,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,42,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,28,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,30,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Female,Married,35,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,38,Third Party,Utility,0,400,External,no change,All Perils
Urban,Male,Married,41,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,27,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,0,Policy Holder,Sedan,0,300,External,2 to 3 years,Collision
Urban,Male,Married,47,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,30,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,27,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,56,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,27,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,29,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,30,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,24,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,46,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,28,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Single,0,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,59,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Married,36,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,41,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,49,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,30,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,31,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,18,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,31,Policy Holder,Sedan,0,400,External,4 to 8 years,Collision
Urban,Male,Single,32,Policy Holder,Sport,0,500,External,2 to 3 years,Liability
Urban,Male,Married,48,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,17,Policy Holder,Sport,0,400,External,no change,Collision
Urban,Male,Married,36,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,30,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Female,Married,26,Policy Holder,Sport,0,400,External,4 to 8 years,Liability
Urban,Male,Married,62,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Female,Married,45,Policy Holder,Sport,0,400,External,no change,Liability
Rural,Male,Married,51,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Female,Married,33,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,26,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,61,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,46,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Female,Married,35,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,32,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,27,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,60,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,34,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,30,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Female,Single,30,Policy Holder,Sport,0,400,External,4 to 8 years,Liability
Rural,Male,Single,27,Policy Holder,Sedan,0,400,External,no change,Collision
Rural,Male,Married,46,Third Party,Sedan,0,400,External,no change,Collision
Urban,Female,Married,36,Policy Holder,Sedan,0,400,External,no change,Collision
Rural,Male,Married,26,Third Party,Sedan,0,400,External,no change,Collision
Rural,Female,Single,27,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,48,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,41,Policy Holder,Sport,0,400,Internal,no change,Liability
Urban,Male,Single,0,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Female,Single,34,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,41,Third Party,Sedan,0,400,External,4 to 8 years,All Perils
Urban,Female,Single,39,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,54,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Single,28,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,30,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,38,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Single,33,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,21,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,40,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,59,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Widow,27,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,34,Policy Holder,Sedan,0,400,External,4 to 8 years,All Perils
Urban,Female,Divorced,52,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,37,Policy Holder,Utility,0,400,External,no change,All Perils
Urban,Male,Married,41,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,68,Policy Holder,Sport,0,400,External,4 to 8 years,Liability
Urban,Male,Single,50,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,24,Third Party,Sedan,0,400,External,no change,Collision
Urban,Female,Married,39,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Divorced,44,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,72,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,67,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,40,Policy Holder,Utility,0,400,External,no change,All Perils
Urban,Male,Single,31,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,28,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,48,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,53,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,47,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,45,Third Party,Sport,0,400,External,no change,Collision
Urban,Male,Married,31,Policy Holder,Sedan,0,400,External,no change,Collision
Rural,Male,Married,43,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,44,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,53,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,56,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,60,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,59,Policy Holder,Sport,0,400,External,no change,Liability
Rural,Female,Single,27,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,63,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,52,Policy Holder,Sedan,0,400,External,4 to 8 years,Collision
Urban,Male,Married,45,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,30,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Female,Married,26,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,54,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,53,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Single,31,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,32,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Single,21,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,51,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,64,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,75,Third Party,Sport,0,400,External,no change,Liability
Urban,Female,Single,29,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Female,Married,50,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,64,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Female,Single,35,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,37,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,56,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Female,Single,31,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,44,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Single,25,Policy Holder,Sport,0,400,External,under 6 months,Liability
Urban,Male,Single,39,Policy Holder,Utility,0,400,External,no change,All Perils
Urban,Male,Single,32,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,47,Policy Holder,Sedan,0,400,External,4 to 8 years,All Perils
Urban,Male,Married,26,Policy Holder,Sport,0,400,External,4 to 8 years,Liability
Urban,Male,Married,46,Policy Holder,Sport,0,700,External,no change,Liability
Urban,Male,Married,33,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,76,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,60,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,60,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,28,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,0,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,45,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,43,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,30,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Single,29,Policy Holder,Sport,0,400,External,4 to 8 years,Liability
Urban,Male,Married,65,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,51,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Female,Married,38,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,30,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,27,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,52,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Female,Married,55,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,21,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,31,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Single,26,Policy Holder,Utility,0,400,External,no change,All Perils
Urban,Male,Married,28,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,28,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Married,43,Third Party,Sedan,0,400,External,no change,All Perils
Rural,Male,Married,56,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,42,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,31,Third Party,Sport,0,400,External,no change,Collision
Urban,Male,Single,41,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,53,Policy Holder,Sedan,0,400,External,no change,All Perils
Rural,Male,Married,57,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,61,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,39,Policy Holder,Utility,0,400,External,no change,All Perils
Rural,Male,Single,21,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,26,Third Party,Sport,0,400,External,no change,Collision
Urban,Male,Married,41,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,32,Policy Holder,Sedan,0,500,External,2 to 3 years,All Perils
Urban,Male,Divorced,27,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,40,Policy Holder,Sport,0,400,External,4 to 8 years,Liability
Urban,Female,Single,43,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,45,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,39,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,53,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,49,Third Party,Sedan,0,400,External,4 to 8 years,All Perils
Urban,Female,Single,34,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,29,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,41,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Married,44,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,30,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,47,Policy Holder,Sport,0,400,External,4 to 8 years,Liability
Urban,Female,Married,30,Third Party,Sedan,0,400,External,no change,Collision
Rural,Male,Married,46,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,33,Policy Holder,Sport,0,400,External,1 year,Liability
Urban,Male,Married,65,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,32,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,39,Policy Holder,Sedan,0,400,External,no change,All Perils
Rural,Male,Married,59,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,43,Policy Holder,Sport,0,400,External,no change,Liability
Rural,Male,Married,54,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,29,Policy Holder,Sedan,0,400,Internal,no change,Collision
Urban,Male,Married,40,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,44,Third Party,Sedan,0,400,External,no change,All Perils
Rural,Male,Single,21,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,36,Policy Holder,Utility,0,400,External,no change,All Perils
Urban,Male,Married,45,Policy Holder,Utility,0,400,External,no change,All Perils
Urban,Female,Married,35,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,33,Policy Holder,Sport,0,400,External,no change,Liability
Rural,Male,Single,28,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,33,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,43,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,59,Policy Holder,Sedan,0,400,External,1 year,Collision
Urban,Male,Married,29,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Married,39,Policy Holder,Sedan,0,400,External,no change,Collision
Rural,Male,Married,29,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,55,Policy Holder,Sedan,0,400,External,no change,Collision
Rural,Male,Married,46,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,19,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Female,Married,39,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,44,Policy Holder,Sedan,0,500,External,2 to 3 years,Collision
Rural,Male,Married,52,Third Party,Sedan,0,400,External,no change,Collision
Urban,Female,Single,32,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,39,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Single,33,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,0,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,49,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,45,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Married,41,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,65,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,40,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,41,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,31,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,30,Policy Holder,Sedan,0,400,External,no change,Collision
Rural,Male,Married,46,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,44,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Married,43,Policy Holder,Sport,0,400,External,4 to 8 years,Liability
Urban,Male,Married,50,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Married,49,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Single,44,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,46,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,49,Third Party,Sedan,0,500,External,2 to 3 years,All Perils
Urban,Male,Single,33,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,28,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,50,Policy Holder,Sport,0,400,External,no change,Liability
Rural,Male,Single,26,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,44,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Single,65,Policy Holder,Sport,0,400,External,no change,All Perils
Urban,Male,Single,35,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,45,Policy Holder,Sport,0,400,External,no change,Liability
Rural,Female,Single,36,Policy Holder,Sport,0,500,External,2 to 3 years,Liability
Urban,Female,Married,37,Policy Holder,Sport,0,400,External,no change,Liability
Rural,Male,Married,49,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,34,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,52,Policy Holder,Sedan,0,700,External,no change,Collision
Urban,Female,Single,57,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,51,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,30,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Female,Single,23,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,55,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Single,40,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,36,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,32,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,48,Policy Holder,Sedan,0,400,External,no change,Collision
Rural,Male,Single,45,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,47,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,32,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,43,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,78,Policy Holder,Sedan,0,400,External,1 year,Collision
Urban,Male,Married,48,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,63,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,47,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,33,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Married,36,Policy Holder,Utility,0,400,External,no change,All Perils
Urban,Male,Married,48,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,33,Third Party,Sedan,0,400,External,4 to 8 years,Collision
Rural,Male,Married,59,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,52,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Single,44,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,29,Policy Holder,Utility,0,400,External,no change,All Perils
Rural,Male,Single,0,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,54,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,34,Policy Holder,Sedan,0,400,External,no change,Collision
Rural,Male,Married,37,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,41,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,56,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,23,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,28,Third Party,Sedan,0,400,External,no change,Collision
Rural,Female,Married,41,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Single,31,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,33,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,35,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,45,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,29,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Female,Married,45,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Married,39,Third Party,Sedan,0,700,Internal,no change,Collision
Urban,Male,Married,49,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,28,Policy Holder,Sedan,0,400,External,no change,Collision
Rural,Male,Married,52,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,34,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,42,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,35,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Single,34,Policy Holder,Sport,0,400,External,no change,Liability
